model,MAE,MASE,MAPE,asymmetric_cost
bu_region,41.579128933174715,0.7134449213525705,19.78637669753051,913.2577594448545
bu_category_region_volscaled,42.135045067083546,0.7241108292347519,19.050530411674824,1075.698206147741
bu_category_region_blend50,42.67696179082438,0.7331090326202551,19.22211743446517,1086.5365406225578
bu_category,43.487485638489005,0.7465984425537613,19.874326128974133,1059.6093260454631
hw_mul_m52,43.95223862262734,0.7545591884674397,19.81467866585433,1112.0420772586176
bu_category_blend50,44.03510257026636,0.7560177707303298,19.854310760081276,1113.6993562113976
bu_category_volscaled,44.11796651790538,0.75747635299322,19.89394285430822,1115.3566351641778
bu_region_blend50,44.20589295033026,0.7589003700817701,19.883448029205365,1117.1151638126755
bu_region_volscaled,44.82690323636842,0.7695638009790443,20.165284024019627,1129.5353695334388
bu_category_region,46.655051786348785,0.8018647844824599,21.365268635775013,931.1957149552665
hw_mul_plus_calendar_resid,48.91659584328926,0.8402008641551273,21.601907474243678,1306.0043816407212
timesfm_zeroshot,49.24018987019857,0.8427172046017194,19.7173170996844,1293.9068209330242
hw_mul_m26,54.95762277925766,0.9434324260253973,27.37300866945336,1171.1429163630048
hw_mul_m13,64.56929214531097,1.1070746121192292,31.941072134186054,1306.1226636573317
hw_mul_m4,64.87190141676201,1.1100936332339935,28.677543096093757,1265.4493488587962
hw_mul_m8,68.7389513811101,1.1787626002325133,32.864580136493,1118.2493097049935
