,MAE,RMSE,MAPE,sMAPE,MASE,bias
v2_hw_mul_m13,22453.142833803842,29926.31691531146,11.909784951169417,12.923521487484432,0.561255836670344,-18411.387203588285
v4_mw_hw_mul_m8,27624.010365455135,41807.41484403186,13.878871798468387,15.929749645523113,0.6905107745768159,-23466.514727358095
v4_holdout_bu_country,21419.9849001793,26724.97975373824,12.023886793207431,12.543834722507569,0.5354302351168705,-11769.020598783234
